dataInizio,dataFine,nome,tipologia,previsione,note
2026-09-04,2026-09-06,"Sanremo Rock",culturale_musicale,medio,"Rassegna musicale"
2026-09-05,2026-09-05,"Guinness - La Tavolata piu Lunga del Mondo",culturale_musicale,medio,"Evento mediatico/record"
2026-09-11,2026-09-13,"Ferrara Summer Festival (settembre)",culturale_musicale,alto,"Concerti di richiamo"
2026-09-13,2026-09-13,"Raduno Nazionale Registro Italiano Volvo",sportivo,medio,"Raduno nazionale"
2026-09-16,2026-09-18,"Remtech Expo",congressuale_fieristico,alto,"Fiera internazionale ambiente"
2026-09-18,2026-09-20,"Mercato Europeo",culturale_musicale,medio,"Grande mercato europeo, richiamo regionale"
2026-09-18,2026-09-27,"Ferrara in Fiaba",culturale_musicale,medio,"Festival famiglie (due weekend)"
2026-09-20,2026-09-20,"Passaggio G.P. Nuvolari",sportivo,medio,"Passaggio auto storiche, mediatico"
2026-09-23,2026-09-27,"Ferrara Film Festival",culturale_musicale,medio,"Festival cinematografico internazionale"
2026-09-25,2026-09-27,"Ferrara Sport Festival",sportivo,medio,"Grande evento sportivo cittadino"
2026-10-01,2026-10-18,"Oktoberfest Ferrara",congressuale_fieristico,medio,"Festival birra prolungato (Fiere)"
2026-10-02,2026-10-04,"Internazionale a Ferrara",culturale_musicale,alto,"Tra i maggiori richiami turistici della citta"
2026-10-03,2026-10-03,"Giro dell'Emilia",sportivo,medio,"Gara ciclistica professionistica"
2026-10-06,2026-10-12,"La Citta Magica",culturale_musicale,medio,"Evento tematico"
2026-10-09,2026-10-11,"Ferrara Gospel Friends",culturale_musicale,medio,"Festival musicale"
2026-10-16,2026-10-18,"Tatoo Convention",congressuale_fieristico,medio,"Convention nazionale (Fiera)"
2026-10-16,2026-10-18,"Artigelato a Ferrara",culturale_musicale,medio,"Evento gastronomico tematico"
2026-10-16,2026-10-18,"Ferrara Monumenti Aperti",culturale_musicale,medio,"Apertura beni culturali"
2026-10-17,2026-10-18,"L'Ariostea - Raduno Auto Storiche",sportivo,medio,"Raduno motoristico"
2026-10-21,2026-10-24,"Ferrara Film Corto Festival",culturale_musicale,medio,"Festival cinematografico"
2026-10-23,2026-10-25,"Festival del Ciclista Lento",sportivo,medio,"Cicloturismo lento, pernottamenti"
2026-10-24,2026-10-25,"Autunno Ducale nelle Terre Estensi",culturale_musicale,alto,"Grande rievocazione storica"
2026-10-30,2026-11-01,"Ferrara Food Festival",culturale_musicale,alto,"Festival enogastronomico di punta"
2026-10-30,2026-11-01,"Horrorland Halloween Festival",congressuale_fieristico,medio,"Festival a tema (Fiere)"
2026-11-02,2026-11-05,"AEHT Annual Conference & Competitions",congressuale_fieristico,alto,"Delegazioni internazionali, pernottamenti garantiti"
2026-11-07,2026-11-08,"Noctis Domini - I Signori della Notte",culturale_musicale,medio,"Evento tematico"
2026-11-18,2026-11-19,"Work On Work",congressuale_fieristico,medio,"Fiera professionale"
2026-11-21,2027-01-06,"Mercato Regalo di Natale",culturale_musicale,alto,"Stagione natalizia, richiamo prolungato"
2026-11-21,2027-01-06,"Christmas Village",culturale_musicale,medio,"Mercatino di Natale"
2026-11-23,2027-01-10,"Il Paese di Babbo Natale",culturale_musicale,medio,"Attrazione natalizia famiglie"
2026-11-26,2026-11-29,"Musicfilm Festival",culturale_musicale,medio,"Festival musica/cinema"
2026-12-04,2026-12-06,"Ferrara Capitale del Karate (Coppa Shotokan / Coppa Europa MKIA)",sportivo,medio,"Campionati nazionali ed europei, atleti da fuori"
2026-12-31,2026-12-31,"Capodanno in Piazza",culturale_musicale,medio,"Evento di fine anno in centro"
